Individual;rdf:type;hpcc:hasTargetValue;sosa:isHostedBy;sosa:madeObservation;sosa:observes;ssn:detects
HeatPump04InValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump04;;Status;
HeatPump04InValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump04;HeatPump04InValvePositionMean;Position;
HeatPump04OutValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump04;;Status;
HeatPump04OutValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump04;HeatPump04OutValvePositionMean;Position;
HeatPump05StatusSensor;hpcc:HeatPumpSensor;nan;HeatPump05;;Status;
HeatPump05FlowStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump05;;Status;
HeatPump05PressureSwitchStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump05;;Status;
HeatPump05SoleFlowInTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump05;HeatPump05SoleFlowInTemperatureMean;Temperature;
HeatPump05SoleFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump05;HeatPump05SoleFlowReturnTemperatureMean;Temperature;
HeatPump05HotWaterFlowInTemperatureSensor;hpcc:HeatPumpSensor;HeatPump05TemperatureTargetValue;HeatPump05;HeatPump05HotWaterFlowInTemperatureMean;Temperature;
HeatPump05HotWaterFlowInTemperatureSensor;hpcc:HeatPumpSensor;HeatPump05TemperatureTargetTolerance;HeatPump05;HeatPump05HotWaterFlowInTemperatureMean;Temperature;
HeatPump05HotWaterFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump05;HeatPump05HotWaterFlowReturnTemperatureMean;Temperature;
HeatPump05HighPressureSensor;hpcc:HeatPumpSensor;nan;HeatPump05;HeatPump05HighPressureMean;Pressure;
HeatPump05InValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump05;;Status;
HeatPump05InValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump05;HeatPump05InValvePositionMean;Position;
HeatPump05OutValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump05;;Status;
HeatPump05OutValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump05;HeatPump05OutValvePositionMean;Position;
HeatPump06StatusSensor;hpcc:HeatPumpSensor;nan;HeatPump06;;Status;
HeatPump06FlowStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump06;;Status;
HeatPump06PressureSwitchStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump06;;Status;
HeatPump06SoleFlowInTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump06;HeatPump06SoleFlowInTemperatureMean;Temperature;
HeatPump06SoleFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump06;HeatPump06SoleFlowReturnTemperatureMean;Temperature;
HeatPump06HotWaterFlowInTemperatureSensor;hpcc:HeatPumpSensor;HeatPump06TemperatureTargetValue;HeatPump06;HeatPump06HotWaterFlowInTemperatureMean;Temperature;
HeatPump06HotWaterFlowInTemperatureSensor;hpcc:HeatPumpSensor;HeatPump06TemperatureTargetTolerance;HeatPump06;HeatPump06HotWaterFlowInTemperatureMean;Temperature;
HeatPump06HotWaterFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump06;HeatPump06HotWaterFlowReturnTemperatureMean;Temperature;
HeatPump06HighPressureSensor;hpcc:HeatPumpSensor;nan;HeatPump06;HeatPump06HighPressureMean;Pressure;
HeatPump06InValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump06;;Status;
HeatPump06InValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump06;HeatPump06InValvePositionMean;Position;
HeatPump06OutValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump06;;Status;
HeatPump06OutValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump06;HeatPump06OutValvePositionMean;Position;
HeatPump07StatusSensor;hpcc:HeatPumpSensor;nan;HeatPump07;;Status;
HeatPump07FlowStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump07;;Status;
HeatPump07PressureSwitchStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump07;;Status;
HeatPump07SoleFlowInTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump07;HeatPump07SoleFlowInTemperatureMean;Temperature;
HeatPump07SoleFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump07;HeatPump07SoleFlowReturnTemperatureMean;Temperature;
HeatPump07HotWaterFlowInTemperatureSensor;hpcc:HeatPumpSensor;HeatPump07TemperatureTargetValue;HeatPump07;HeatPump07HotWaterFlowInTemperatureMean;Temperature;
HeatPump07HotWaterFlowInTemperatureSensor;hpcc:HeatPumpSensor;HeatPump07TemperatureTargetTolerance;HeatPump07;HeatPump07HotWaterFlowInTemperatureMean;Temperature;
HeatPump07HotWaterFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump07;HeatPump07HotWaterFlowReturnTemperatureMean;Temperature;
HeatPump07HighPressureSensor;hpcc:HeatPumpSensor;nan;HeatPump07;HeatPump07HighPressureMean;Pressure;
HeatPump07InValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump07;;Status;
HeatPump07InValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump07;HeatPump07InValvePositionMean;Position;
HeatPump07OutValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump07;;Status;
HeatPump07OutValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump07;HeatPump07OutValvePositionMean;Position;
HeatPump08StatusSensor;hpcc:HeatPumpSensor;nan;HeatPump08;;Status;
HeatPump08FlowStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump08;;Status;
HeatPump08PressureSwitchStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump08;;Status;
HeatPump08SoleFlowInTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump08;HeatPump08SoleFlowInTemperatureMean;Temperature;
HeatPump08SoleFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump08;HeatPump08SoleFlowReturnTemperatureMean;Temperature;
HeatPump08HotWaterFlowInTemperatureSensor;hpcc:HeatPumpSensor;HeatPump08TemperatureTargetValue;HeatPump08;HeatPump08HotWaterFlowInTemperatureMean;Temperature;
HeatPump08HotWaterFlowInTemperatureSensor;hpcc:HeatPumpSensor;HeatPump08TemperatureTargetTolerance;HeatPump08;HeatPump08HotWaterFlowInTemperatureMean;Temperature;
HeatPump08HotWaterFlowReturnTemperatureSensor;hpcc:HeatPumpSensor;nan;HeatPump08;HeatPump08HotWaterFlowReturnTemperatureMean;Temperature;
HeatPump08HighPressureSensor;hpcc:HeatPumpSensor;nan;HeatPump08;HeatPump08HighPressureMean;Pressure;
HeatPump08InValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump08;;Status;
HeatPump08InValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump08;HeatPump08InValvePositionMean;Position;
HeatPump08OutValveStatusSensor;hpcc:HeatPumpSensor;nan;HeatPump08;;Status;
HeatPump08OutValvePositionSensor;hpcc:HeatPumpSensor;nan;HeatPump08;HeatPump08OutValvePositionMean;Position;
